"category_id","threshold_duration_time_in_mega_promotion"
"6846","0"
"6847","0"
"6849","0"
"6854","0"
"6855","0"
"6856","0"
"6857","0"
"6858","0"
"6859","0"
"6860","0"
"6861","0"
"6862","0"
"6865","0"
"6866","0"
"6873","0"
"6874","0"
"6875","0"
"6876","0"
"6877","0"
"6879","0"
"6886","0"
"6890","0"
"6891","0"
"6905","0"
"6908","0"
"6912","0"
"6919","0"
"6922","0"
"6930","0"
"6936","0"
"6938","0"
"6940","0"
"6945","0"
"6947","0"
"6948","0"
"6952","0"
"6953","0"
"6962","0"
"6965","0"
"6966","0"
"6967","0"
"6971","0"
"6972","0"
"6973","0"
"8013","0"
"8014","0"
"8015","0"
"8017","0"
"8018","0"
"8019","0"
"8098","0"
"8099","0"
"8102","0"
"8111","0"
"8112","0"
"8113","0"
"8114","0"
"8131","0"
"8136","0"
"8142","0"
"8143","0"
"8162","0"
"8163","0"
"8166","0"
"8171","0"
"8182","0"
"8189","0"
"8196","0"
"8206","0"
"8207","0"
"8208","0"
"8213","0"
"8214","0"
"8216","0"
"8217","0"
"8232","0"
"8237","0"
"8241","0"
"8259","0"
"8269","0"
"8271","0"
"8274","0"
"8275","0"
"8279","0"
"8281","0"
"8299","0"
"8312","0"
"8314","0"
"8315","0"
"8316","0"
"8317","0"
"8318","0"
"8319","0"
"8320","0"
"8323","0"
"8324","0"
"8325","0"
"8329","0"
"8333","0"
"8337","0"
"8346","0"
"8353","0"
"8356","0"
"8362","0"
"8364","0"
"8373","0"
"8379","0"
"8380","0"
"8381","0"
"8383","0"
"8389","0"
"8391","0"
"8392","0"
"8403","0"
"8409","0"
"8410","0"
"8412","0"
"8417","0"
"8418","0"
"8420","0"
"8421","0"
"8428","0"
"8429","0"
"8442","0"
"8444","0"
"8446","0"
"8450","0"
"8451","0"
"8452","0"
"8453","0"
"8460","0"
"8462","0"
"8465","0"
"8466","0"
"8473","0"
"8481","0"
"8482","0"
"8485","0"
"8486","0"
"8490","0"
"8491","0"
"8493","0"
"8514","0"
"8522","0"
"8556","0"
"8559","0"
"8562","0"
"8563","0"
"8565","0"
"8566","0"
"8568","0"
"8569","0"
"8570","0"
"8571","0"
"8573","0"
"8575","0"
"8577","0"
"8581","0"
"8582","0"
"8584","0"
"8585","0"
"8586","0"
"8589","0"
"8592","0"
"8595","0"
"8597","0"
"8598","0"
"8599","0"
"8601","0"
"8602","0"
"8603","0"
"8606","0"
"8609","0"
"8614","0"
"8617","0"
"8626","0"
"8629","0"
"8630","0"
"8632","0"
"8633","0"
"8638","0"
"8644","0"
"8645","0"
"8646","0"
"8652","0"
"8657","0"
"8661","0"
"8663","0"
"8667","0"
"8671","0"
"8676","0"
"8681","0"
"8692","0"
"8695","0"
"8696","0"
"8697","0"
"8699","0"
"8705","0"
"8706","0"
"8708","0"
"8714","0"
"8719","0"
"8724","0"
"8727","0"
"8730","0"
"8735","0"
"8737","0"
"8743","0"
"8744","0"
"8746","0"
"8749","0"
"8752","0"
"8753","0"
"8754","0"
"8755","0"
"8757","0"
"8759","0"
"8760","0"
"8762","0"
"8763","0"
"8764","0"
"8765","0"
"8766","0"
"8768","0"
"8770","0"
"8771","0"
"8779","0"
"8781","0"
"8782","0"
"8784","0"
"8786","0"
"8789","0"
"8792","0"
"8793","0"
"8796","0"
"8803","0"
"8808","0"
"8809","0"
"8810","0"
"8814","0"
"8815","0"
"8816","0"
"8818","0"
"8820","0"
"8821","0"
"8822","0"
"8825","0"
"8829","0"
"8834","0"
"8852","0"
"8895","0"
"8896","0"
"8897","0"
"8898","0"
"8899","0"
"8906","0"
"8907","0"
"8908","0"
"8910","0"
"8911","0"
"8915","0"
"8916","0"
"8923","0"
"8925","0"
"8927","0"
"8928","0"
"8937","0"
"8940","0"
"8945","0"
"8993","0"
"8994","0"
"9000","0"
"9011","0"
"9013","0"
"9014","0"
"9016","0"
"9093","0"
"9188","0"
"9191","0"
"9192","0"
"9205","0"
"9206","0"
"9207","0"
"9208","0"
"9209","0"
"9211","0"
"9213","0"
"9214","0"
"9215","0"
"9217","0"
"9218","0"
"9223","0"
"9229","0"
"9234","0"
"9239","0"
"9240","0"
"9244","0"
"9255","0"
"9264","0"
"9270","0"
"9271","0"
"9273","0"
"9276","0"
"9282","0"
"9283","0"
"9285","0"
"9292","0"
"9295","0"
"9305","0"
"9310","0"
"9312","0"
"9313","0"
"9315","0"
"9322","0"
"9333","0"
"9334","0"
"9336","0"
"9337","0"
"9341","0"
"9343","0"
"9353","0"
"9354","0"
"9365","0"
"9380","0"
"9387","0"
"9400","0"
"9414","0"
"9416","0"
"9419","0"
"9430","0"
"9432","0"
"9435","0"
"9436","0"
"9442","0"
"9446","0"
"9449","0"
"9457","0"
"9466","0"
"9469","0"
"9476","0"
"9487","0"
"9494","0"
"9495","0"
"9497","0"
"9498","0"
"9499","0"
"9500","0"
"9502","0"
"9503","0"
"9505","0"
"9513","0"
"9515","0"
"9522","0"
"9523","0"
"9526","0"
"9528","0"
"9531","0"
"9532","0"
"9534","0"
"9540","0"
"9547","0"
"9548","0"
"9549","0"
"9552","0"
"9553","0"
"9554","0"
"9555","0"
"9557","0"
"9562","0"
"9563","0"
"9565","0"
"9568","0"
"9575","0"
"9577","0"
"9586","0"
"9590","0"
"9592","0"
"9593","0"
"9594","0"
"9595","0"
"9596","0"
"9597","0"
"9598","0"
"9600","0"
"9603","0"
"9608","0"
"9611","0"
"9613","0"
"9615","0"
"9620","0"
"9625","0"
"9626","0"
"9627","0"
"9632","0"
"9636","0"
"9640","0"
"9646","0"
"9653","0"
"9656","0"
"9657","0"
"9663","0"
"9667","0"
"9670","0"
"9675","0"
"9680","0"
"9683","0"
"9688","0"
"9689","0"
"9692","0"
"9699","0"
"9702","0"
"9703","0"
"9706","0"
"9708","0"
"9713","0"
"9714","0"
"9717","0"
"9719","0"
"9724","0"
"9726","0"
"9727","0"
"9729","0"
"9730","0"
"9731","0"
"9732","0"
"9733","0"
"9734","0"
"9735","0"
"9736","0"
"9737","0"
"9738","0"
"9740","0"
"9741","0"
"9742","0"
"9743","0"
"9745","0"
"9748","0"
"9749","0"
"9750","0"
"9756","0"
"9758","0"
"9762","0"
"9764","0"
"9771","0"
"9772","0"
"9780","0"
"9782","0"
"9786","0"
"9790","0"
"9793","0"
"9797","0"
"9800","0"
"9806","0"
"9807","0"
"9808","0"
"9809","0"
"9810","0"
"9815","0"
"9816","0"
"9817","0"
"9818","0"
"9819","0"
"9820","0"
"9821","0"
"9822","0"
"9823","0"
"9824","0"
"9825","0"
"9826","0"
"9827","0"
"9828","0"
"9829","0"
"9832","0"
"9834","0"
"9837","0"
"9844","0"
"9845","0"
"9846","0"
"9849","0"
"9851","0"
"9852","0"
"9862","0"
"9868","0"
"9871","0"
"9873","0"
"9874","0"
"9876","0"
"9879","0"
"9885","0"
"9890","0"
"9903","0"
"9905","0"
"9909","0"
"9913","0"
"9915","0"
"9918","0"
"9920","0"
"9921","0"
"9926","0"
"9939","0"
"9944","0"
"9945","0"
"9947","0"
"9948","0"
"9960","0"
"9971","0"
"9972","0"
"9973","0"
"9974","0"
"9975","0"
"9976","0"
"9977","0"
"9978","0"
"9979","0"
"9981","0"
"9983","0"
"9984","0"
"9987","0"
"9988","0"
"9993","0"
"9995","0"
"9996","0"
"9997","0"
"9998","0"
"9999","0"
"10000","0"
"10001","0"
"10002","0"
"10003","0"
"10004","0"
"10005","0"
"10006","0"
"10008","0"
"10012","0"
"10013","0"
"10014","0"
"10015","0"
"10016","0"
"10026","0"
"10028","0"
"10029","0"
"10030","0"
"10032","0"
"10033","0"
"10034","0"
"10036","0"
"10037","0"
"10038","0"
"10039","0"
"10040","0"
"10045","0"
"10048","0"
"10049","0"
"10050","0"
"10051","0"
"10058","0"
"10059","0"
"10061","0"
"10063","0"
"10067","0"
"10069","0"
"10070","0"
"10071","0"
"10074","0"
"10075","0"
"10077","0"
"10079","0"
"10081","0"
"10085","0"
"10086","0"
"10087","0"
"10089","0"
"10090","0"
"10101","0"
"10310","0"
"10116","0"
"10197","0"
"10156","0"
"10309","0"
"10379","0"
"10380","0"
"10381","0"
"10382","0"
"10387","0"
"10389","0"
"10393","0"
"10394","0"
"10395","0"
"10396","0"
"10398","0"
"10399","0"
"10400","0"
"10402","0"
"10404","0"
"10406","0"
"10409","0"
"10410","0"
"10411","0"
"10412","0"
"10413","0"
"10443","0"
"10444","0"
"10445","0"
"10446","0"
"10447","0"
"10448","0"
"10450","0"
"10451","0"
"10452","0"
"10454","0"
"10295","0"
"10378","0"
"10397","0"
"10401","0"
"10122","0"
"10134","0"
"10326","0"
"10327","0"
"10328","0"
"10329","0"
"10330","0"
"10331","0"
"10332","0"
"10333","0"
"10334","0"
"10335","0"
"10336","0"
"10337","0"
"10338","0"
"10340","0"
"10349","0"
"10351","0"
"10352","0"
"10353","0"
"10354","0"
"10355","0"
"10356","0"
"10357","0"
"10358","0"
"10359","0"
"10360","0"
"10361","0"
"10362","0"
"10363","0"
"10103","0"
"10105","0"
"10106","0"
"10123","0"
"10124","0"
"10126","0"
"10151","0"
"10186","0"
"10339","0"
"10341","0"
"10342","0"
"10343","0"
"10344","0"
"10346","0"
"10347","0"
"10348","0"
"10350","0"
"10386","0"
"10403","0"
"10118","0"
"10098","0"
"10099","0"
"10314","0"
"10140","0"
"10145","0"
"10146","0"
"10147","0"
"10152","0"
"10311","0"
"10313","0"
"10107","0"
"10148","0"
"10132","0"
"10414","0"
"10131","0"
"10370","0"
"10166","0"
"10364","0"
"10290","0"
"10292","0"
"10294","0"
"10298","0"
"10300","0"
"10303","0"
"10304","0"
"10093","0"
"10096","0"
"10133","0"
"10137","0"
"10138","0"
"10153","0"
"10167","0"
"10189","0"
"10190","0"
"10191","0"
"10192","0"
"10193","0"
"10194","0"
"10196","0"
"10198","0"
"10199","0"
"10200","0"
"10202","0"
"10203","0"
"10204","0"
"10205","0"
"10206","0"
"10207","0"
"10209","0"
"10210","0"
"10212","0"
"10213","0"
"10215","0"
"10216","0"
"10217","0"
"10218","0"
"10219","0"
"10221","0"
"10222","0"
"10223","0"
"10224","0"
"10225","0"
"10226","0"
"10227","0"
"10228","0"
"10229","0"
"10230","0"
"10231","0"
"10233","0"
"10234","0"
"10235","0"
"10236","0"
"10237","0"
"10238","0"
"10239","0"
"10240","0"
"10241","0"
"10242","0"
"10243","0"
"10244","0"
"10245","0"
"10246","0"
"10248","0"
"10249","0"
"10250","0"
"10251","0"
"10252","0"
"10253","0"
"10254","0"
"10255","0"
"10256","0"
"10257","0"
"10258","0"
"10259","0"
"10260","0"
"10261","0"
"10262","0"
"10263","0"
"10264","0"
"10265","0"
"10266","0"
"10267","0"
"10268","0"
"10269","0"
"10270","0"
"10271","0"
"10272","0"
"10273","0"
"10274","0"
"10275","0"
"10276","0"
"10277","0"
"10278","0"
"10279","0"
"10280","0"
"10281","0"
"10282","0"
"10283","0"
"10368","0"
"10383","0"
"10453","0"
"10455","0"
"10104","0"
"10371","0"
"10120","0"
"10121","0"
"10130","0"
"10188","0"
"10097","0"
"10155","0"
"10302","0"
"10388","0"
"10390","0"
"10391","0"
"10392","0"
"10405","0"
"10407","0"
"10408","0"
"10449","0"
"10287","0"
"10288","0"
"10289","0"
"10291","0"
"10293","0"
"10296","0"
"10297","0"
"10299","0"
"10301","0"
"10305","0"
"10306","0"
"10307","0"
"10092","0"
"10094","0"
"10109","0"
"10110","0"
"10111","0"
"10113","0"
"10114","0"
"10115","0"
"10129","0"
"10135","0"
"10136","0"
"10139","0"
"10141","0"
"10142","0"
"10144","0"
"10154","0"
"10315","0"
"10366","0"
"10457","0"
"10108","0"
"10367","0"
"10100","0"
"10127","0"
"10317","0"
"10459","0"
"10460","0"
"10465","0"
"10472","0"
"10473","0"
"10475","0"
"10476","0"
"10481","0"
"10482","0"
"10487","0"
"10498","0"
"11","7"
"5918","7"
"6768","7"
"6920","7"
"6926","7"
"6927","7"
"6931","7"
"6932","7"
"6941","7"
"8120","7"
"8349","7"
"8358","7"
"8588","7"
"8901","7"
"8904","7"
"8909","7"
"8929","7"
"8947","7"
"8948","7"
"9210","7"
"9212","7"
"9227","7"
"9230","7"
"9231","7"
"9241","7"
"9386","7"
"9388","7"
"9389","7"
"9390","7"
"9391","7"
"9392","7"
"9393","7"
"9394","7"
"9395","7"
"9396","7"
"9397","7"
"9700","7"
"9704","7"
"9705","7"
"9710","7"
"9811","7"
"9812","7"
"9813","7"
"9922","7"
"9923","7"
"9924","7"
"9949","7"
"9950","7"
"9951","7"
"9952","7"
"9953","7"
"9963","7"
"9964","7"
"9982","7"
"9985","7"
"9991","7"
"9992","7"
"9994","7"
"10083","7"
"15","14"
"174","14"
"6035","14"
"6042","14"
"6043","14"
"6051","14"
"6057","14"
"6059","14"
"6076","14"
"6081","14"
"6082","14"
"6083","14"
"6094","14"
"6096","14"
"6097","14"
"6098","14"
"6100","14"
"6103","14"
"6104","14"
"6106","14"
"6108","14"
"6109","14"
"6113","14"
"6115","14"
"6117","14"
"6118","14"
"6120","14"
"6121","14"
"6122","14"
"6123","14"
"6126","14"
"6127","14"
"6128","14"
"6133","14"
"6143","14"
"6152","14"
"6179","14"
"6202","14"
"6203","14"
"6241","14"
"6292","14"
"6400","14"
"6418","14"
"6432","14"
"6435","14"
"6446","14"
"6543","14"
"6618","14"
"6772","14"
"6774","14"
"6777","14"
"6779","14"
"6788","14"
"6798","14"
"6799","14"
"6801","14"
"6808","14"
"6809","14"
"6811","14"
"6853","14"
"6916","14"
"6955","14"
"8016","14"
"8020","14"
"8110","14"
"8123","14"
"8174","14"
"8215","14"
"8218","14"
"8219","14"
"8220","14"
"8221","14"
"8222","14"
"8223","14"
"8224","14"
"8225","14"
"8227","14"
"8228","14"
"8229","14"
"8230","14"
"8231","14"
"8233","14"
"8240","14"
"8288","14"
"8306","14"
"8338","14"
"8351","14"
"8357","14"
"8359","14"
"8372","14"
"8419","14"
"8436","14"
"8437","14"
"8438","14"
"8439","14"
"8441","14"
"8471","14"
"8593","14"
"8600","14"
"8613","14"
"8615","14"
"8631","14"
"8682","14"
"8687","14"
"8710","14"
"8721","14"
"8722","14"
"8723","14"
"9017","14"
"9018","14"
"9083","14"
"9243","14"
"9281","14"
"9491","14"
"9870","14"
"10056","14"
"13","30"
"14","30"
"18","30"
"20","30"
"23","30"
"24","30"
"25","30"
"26","30"
"27","30"
"28","30"
"29","30"
"30","30"
"34","30"
"35","30"
"36","30"
"37","30"
"39","30"
"40","30"
"41","30"
"42","30"
"43","30"
"44","30"
"45","30"
"46","30"
"48","30"
"49","30"
"53","30"
"54","30"
"55","30"
"56","30"
"57","30"
"58","30"
"62","30"
"63","30"
"64","30"
"67","30"
"68","30"
"69","30"
"70","30"
"74","30"
"76","30"
"77","30"
"79","30"
"80","30"
"81","30"
"82","30"
"84","30"
"86","30"
"87","30"
"88","30"
"89","30"
"91","30"
"97","30"
"98","30"
"100","30"
"101","30"
"102","30"
"103","30"
"104","30"
"107","30"
"108","30"
"109","30"
"110","30"
"113","30"
"114","30"
"115","30"
"116","30"
"119","30"
"123","30"
"125","30"
"126","30"
"129","30"
"132","30"
"134","30"
"139","30"
"140","30"
"141","30"
"142","30"
"143","30"
"144","30"
"145","30"
"146","30"
"150","30"
"156","30"
"162","30"
"163","30"
"164","30"
"168","30"
"173","30"
"193","30"
"194","30"
"195","30"
"196","30"
"197","30"
"200","30"
"201","30"
"204","30"
"208","30"
"209","30"
"210","30"
"211","30"
"213","30"
"216","30"
"218","30"
"219","30"
"221","30"
"1271","30"
"1272","30"
"1274","30"
"1289","30"
"1291","30"
"1292","30"
"1293","30"
"1317","30"
"1343","30"
"1344","30"
"1345","30"
"1346","30"
"2354","30"
"2391","30"
"2393","30"
"2396","30"
"2397","30"
"2398","30"
"2400","30"
"2401","30"
"2402","30"
"2403","30"
"2404","30"
"2405","30"
"2406","30"
"2407","30"
"2408","30"
"2409","30"
"2410","30"
"3347","30"
"3349","30"
"3354","30"
"3355","30"
"3357","30"
"3358","30"
"3359","30"
"3545","30"
"4577","30"
"4580","30"
"4581","30"
"5582","30"
